CONSUMO DE ENERGÍA  FINAL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector: Consumo de energía final, evolución por fuente de energía.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARBONES,,,,,PRODUCTOS PETROLÍFEROS,,,,,,,,GASES,,,RESIDUOS,,,ENERGIAS RENOVABLES,,,,,,,ENERGÍA ELÉCTRICA,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,
(ktep),Hulla, Antracita y Aglomerados,Coque de coquería,Gas de coquería y horno alto,Alquitranes de Carbón,TOTAL,GLP,Gasolina,Queroseno,Gasóleo,Fueloil,Coque de petróleo,Otros productos petrolíferos,Productos petrolíferos,Gas Natural,Otros Gases,TOTAL,Residuos industriales no renovables,RSU no renovable,Residuos,Solar térmica,Geotermia,Biomasa,Biogás,Biocarburantes,RSU renovable,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1775,95791,1640,42466,672,713928,,4089,96498,2814,30576,8654,4702,2206,67916,14433,26304,,1318,176,93,6647,29520,55886,3949,756776,279,267048,4229,23824,11,94,,11,94,,3,67752,3899,10252,10,149,,,3912,92904,10818,714,52582,262222,,,,
1991,2163,3168,1578,75456,653,987232,,4395,773472,3142,75128,8843,43264,2499,32856,15260,89608,4397,7408,1305,18528,124,72438,35574,5902,4304,697156,250,70418,4555,401336,11,94,,11,94,,3,67752,3657,41304,10,149,,,3671,23956,11062,782,59271,195388,,,
1992,2053,19298,1416,3624,652,635624,,4121,864844,2902,18416,9565,22952,2789,92428,15831,81912,4113,912,1217,30688,149,34394,36568,8991,4703,868072,193,277556,4897,145628,11,94,,11,94,,4,10736,3328,7526,12,34596,,,3345,20592,11246,134,60191,189492,,,
1993,1179,50339,1455,61734,714,296172,,3349,416902,2728,62432,9228,426,2733,44808,16086,47544,4464,6048,1072,11648,91,8012,36404,77524,5009,89266,164,370816,5174,263476,19,5624,,19,5624,,4,10736,3335,98824,14,25636,,,3354,35196,11238,738,59540,601818,,,
1994,888,26514,1700,87688,489,840888,,3078,982908,2949,4188,9480,81372,2904,93036,16812,45132,5182,9152,1453,43232,195,57116,38979,53288,5013,675252,102,925188,5116,60044,23,23524,,23,23524,23,9994,4,10736,3346,16112,13,18176,,,3387,44964,11778,99,62364,791108,,
1995,575,66322,1658,66898,346,587156,,2580,919356,2727,52584,8825,6898,3095,9226,17974,8342,4910,6832,1564,99968,130,17952,39229,83484,6424,130736,68,967828,6493,98564,78,876,,78,876,24,64416,4,10736,3206,39148,21,2532,,,3256,3962,12118,346,63756,68256,,
1996,559,7472,1407,92898,354,82098,,2322,49716,2901,8568,9428,63592,3329,1528,19294,3236,3289,7088,1706,36928,98,42696,40047,56552,6891,796656,37,890396,6929,687052,78,876,,78,876,25,28892,4,10736,3225,28056,21,27708,,,3275,95392,12657,652,65311,443252,,
1997,675,3984,1308,67176,383,29788,,2367,948,2738,51064,9344,4828,3527,1954,19638,315,3196,992,2492,68992,93,42,41030,71296,7741,719288,28,541376,7770,260664,81,192,,81,192,22,82928,4,10736,3238,79664,22,61436,,,3288,34764,13676,408,68213,930744,,
1998,723,94608,1042,74408,378,54576,,2145,23592,2805,51792,9482,10324,3752,7336,21672,48504,3098,6688,2368,13184,93,42,43272,4002,8701,659468,42,167304,8743,826772,81,192,,81,192,25,24116,4,10736,3375,98724,22,73376,,,3428,6952,14204,878,71875,602412,,
1999,743,24651,959,24766,225,21228,,1927,70645,2783,54832,9289,3344,4095,3792,23340,732,2467,2816,2074,6944,92,401,44142,6988,9631,59516,29,76642,9660,825936,81,192,,81,192,27,96348,5,32524,3392,9898,21,9696,,,3448,24812,15243,672,74503,714386,,
2000,873,40696,849,90114,235,951116,,1959,259216,2697,86688,8865,97536,4385,63364,25247,94192,2321,136,2441,4912,12,228,45972,273,11816,881884,85,602636,11902,48452,,,,31,11564,5,373,3335,89272,25,74,71,76,,3469,21536,16207,474,79510,706096,,,
2001,1064,49386,850,46232,361,10142,,2276,576,2530,89792,8780,77152,4474,96872,26748,15516,2182,632,2707,41888,12,228,47437,722,13006,764972,33,377076,13040,142048,,,,35,65284,5,373,3348,52524,25,9788,71,76,,3486,40896,17281,958,83521,638808,,,
2002,1001,9889,922,7232,349,586484,,2273,408574,2528,70096,8324,90232,4301,43276,27655,88172,2315,4048,2457,53856,12,228,47596,8912,13693,928688,32,66784,13726,596528,,,,39,95124,5,373,3379,76028,28,7754,138,843,,3592,70292,17673,86,84862,657142,,,
2003,971,47393,958,79394,327,41376,,2257,309246,2490,25416,8109,21816,4505,77392,30073,6308,2384,1792,2656,98432,12,228,50231,70084,15318,938808,34,365708,15353,304516,,,,44,79888,5,373,3384,70344,28,7754,190,797,,3654,44772,18739,228,90235,990322,,,
2004,1034,88781,896,22834,346,5702,,2277,17317,2547,37512,7746,71976,4994,54976,32796,24276,1513,992,2752,50432,12,228,52363,61172,16368,672564,38,234268,16406,906832,,,,53,10912,5,373,3423,36516,28,67988,175,485,,3686,1216,19837,534,94571,237882,,,
2005,1077,56066,755,259,283,734996,,2116,321556,2459,49672,7465,3656,5322,11172,34245,114,1017,288,2679,14496,12,228,53200,749,17649,789192,41,501052,17691,290244,,,,61,34772,7,2834,3439,86624,22,686,258,417,,3789,60036,20831,92,97629,5316,,,
2006,941,58504,745,54554,270,543684,,1957,674264,2263,96728,7124,45472,5567,52648,33356,8974,1953,384,2727,28704,12,228,53005,74492,15155,578116,38,621124,15194,19924,,,,73,16832,7,97592,3687,7884,64,92972,170,892,,4004,75436,21166,75,95329,122784,,,
2007,1160,98588,660,49692,290,96586,,2112,44866,2237,60376,6859,55388,5857,9536,34830,4128,1762,344,2721,93792,12,228,54281,17572,15703,301736,42,296256,15745,597992,,,,92,60664,9,28932,3719,88312,72,38028,384,894,,4279,5336,21567,51,97985,785732,,,
2008,1009,29536,640,23474,283,388736,,1932,918836,2157,41472,6319,43604,5782,13604,32967,72504,1692,6144,2578,27584,12,228,51509,83008,14676,2712,43,908156,14719,935276,,,,124,91628,10,96092,3626,1084,27,91572,619,452,,4409,25576,21938,84,94510,23952,,,
2009,561,69819,574,17072,213,613764,60,79848,1410,281154,2002,52904,5930,2398,5270,76972,30589,5636,1370,712,2368,896,12,228,47544,93816,13000,8096,39,11544,13039,1964,,,,155,24388,13,65936,3707,34612,28,22616,1072,662,27,514832112,5004,652352112,20620,908,87619,976066112,
2010,846,86957,491,4504,264,798156,,1603,118126,2005,82448,5461,953,5387,82948,29987,83536,1127,136,2624,12544,12,228,46606,93176,14344,362576,33,119172,14377,481748,,,,183,37452,15,9996,3651,10872,53,6136,1435,608,27,514832112,5366,667032112,21052,972,89007,170666112,,
2011,999,888,555,65007,305,87892,54,4464,1915,6419,1798,21176,5079,92076,5746,19664,27737,208,1083,1968,2374,24512,12,228,43831,116,13997,825568,3,202308,14001,27876,,,,204,79488,16,78764,3789,44556,55,30608,1721,124,27,514832112,5814,972992112,20941,774,86503,840218112,
2012,762,53375,419,14508,273,50958,51,72408,1506,91249,1742,18928,4733,8518,5419,66152,25472,81988,726,9072,1808,76672,12,228,39916,4244,14631,151824,1,525932,14632,677756,,,,220,26912,17,62344,3848,76348,55,4016,2127,21,27,514832112,6296,593472112,20661,328,83013,936118112,
2013,790,12291,682,78601,258,973824,49,9092,1781,791944,1478,55408,4510,68,5267,6892,25905,11952,761,2944,1117,96608,12,228,39052,85196,14783,358168,0,558792,14783,91696,,,,239,1492,18,10104,3743,83476,125,8344,908,721,27,514832112,5062,269992112,19787,482,80468,312856112,
2014,807,35891,423,6426,223,703064,45,372,1499,498234,1414,84224,4440,1278,5407,33944,25707,96624,592,224,1072,11648,7,133,38641,7492,14292,566856,0,300888,14292,867744,,,,258,64428,18,84132,3733,638,100,98852,962,8381,27,514832112,5102,465052112,19513,142,79049,722230112,
2015,839,90018,401,31352,228,135192,45,372,1514,720892,1456,58448,4469,93004,5683,5594,27101,38812,510,768,1101,15456,,40322,6934,13218,160284,0,21492,13218,375204,,2,41188,2,41188,277,27068,18,84132,3925,29888,59,7912,979,5569,29,926712112,5289,973612112,19955,268,80303,442988112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: MINETUR/IDAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
